Tên dự án:,Flight Management System,,,,,,,,,,,,,
Người thực hiện,,Nguyễn Phúc Thịnh,Trần Xuân Thịnh,Trần Đức Thịnh,,,,,,,,,,
,,,,,,,,,,,,,,
Stt,Tên chức năng chính,Tên chức năng con,Môi trường triển khai,,DANH SÁCH ĐỘ ĐO,,,,,,,,,
,,,Web,Mobile,C1,W1,C2,W2,C3,W3,C4,W4,C5,W5
1,System Administration,Manage user accounts,,x,,,,,,,,,,
2,,Manage user roles,,x,,,,,,,,,,
3,,Manage employee accounts,,x,,,,,,,,,,
4,,Configure security policies,,x,,,,,,,,,,
5,,Monitor system performance,,x,,,,,,,,,,
6,,View system analytics,,x,,,,,,,,,,
7,,Track system usage,,x,,,,,,,,,,
8,Booking & Ticketing,Search flights,x,x,,,,,,,,,,
9,,View flight details,x,x,,,,,,,,,,
10,,Book tickets,x,x,,,,,,,,,,
11,,Enter passenger details,x,x,,,,,,,,,,
12,,Select seats,x,x,,,,,,,,,,
13,,Manage seat assignments,x,x,,,,,,,,,,
14,,Manage bookings,x,x,,,,,,,,,,
15,,Look up booking,x,x,,,,,,,,,,
16,,Handle ticket modifications,x,x,,,,,,,,,,
17,,Process ticket booking,x,x,,,,,,,,,,
18,,Ask for refund,x,x,,,,,,,,,,
19,,Search customer bookings,x,x,,,,,,,,,,
20,Financial Management,View financial reports,,x,,,,,,,,,,
21,,Generate statistics,,x,,,,,,,,,,
22,,Track booking revenue,,x,,,,,,,,,,
23,,View revenue analytics,,x,,,,,,,,,,
24,Customer Support & Communication,Contact customer support via chat,,x,,,,,,,,,,
25,,Handle customer inquiries,,x,,,,,,,,,,
26,,Assist with bookings,,x,,,,,,,,,,
27,,Escalate complex issues,,x,,,,,,,,,,
28,,Access business policies,,x,,,,,,,,,,
29,Authentication & Access,Register,x,x,,,,,,,,,,
30,,Log in,x,x,,,,,,,,,,
31,,Reset password,x,x,,,,,,,,,,
32,Flight Operations,Manage aircraft database,,x,,,,,,,,,,
33,,Manage airport database,,x,,,,,,,,,,
34,,Manage ticket classes,,x,,,,,,,,,,
35,,Configure business rules,,x,,,,,,,,,,
36,,Manage flight information,,x,,,,,,,,,,
37,,Create flight schedules,,x,,,,,,,,,,
38,,Update flight schedules,,x,,,,,,,,,,
39,,Monitor and adjust flight operations,,x,,,,,,,,,,
40,Payment Processing,Make payment,x,x,,,,,,,,,,
41,,Process payment,,x,,,,,,,,,,
42,,Process refunds,,x,,,,,,,,,,
43,,Handle payment gateway,,x,,,,,,,,,,
,Tổng,,,,,,,,,,,,,
,Tính giá trị hiệu chỉnh,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Tổng,,,,,,,,,,,,,
